 54
   0.22314 -11.76075   0.40547 -10.03474   0.69315  -8.64616   0.71491  -8.57112
   5.70378  -2.17331   5.99146  -2.13962   6.21461  -2.11777   6.39693  -2.10128
   6.68461  -2.08024   6.90776  -2.06593   7.31322  -2.04562   7.60090  -2.03485
   8.00637  -2.02268   8.29405  -2.01665   8.51719  -2.01216   8.69951  -2.00917
   8.98720  -2.00545   9.21034  -2.00322   9.61581  -2.00026   9.90349  -1.99805
  10.30895  -1.99657  10.59663  -1.99510  10.81978  -1.99510  11.00210  -1.99437
  11.28978  -1.99363  11.51293  -1.99363
 54
   0.22314  -8.52674   0.40547  -6.80882   0.69315  -5.42433   0.71491  -5.34919
   1.09861  -4.37168   1.38629  -3.88636   1.60944  -3.59212   1.79176  -3.38523
   1.94591  -3.23145   2.07944  -3.11025   2.19722  -3.01166   2.30259  -2.92976
   2.39790  -2.86068   2.48491  -2.80115   2.56495  -2.74872   2.63906  -2.70217
   2.70805  -2.66055   2.77259  -2.62293   2.89037  -2.55735   2.99573  -2.50189
   3.09104  -2.45411   3.17805  -2.41251   3.25810  -2.37569   3.33220  -2.34299
   3.40120  -2.31344   3.68888  -2.20093   3.91202  -2.12360   4.09434  -2.06593
   4.38203  -1.98559   4.60517  -1.93033   5.01064  -1.84390   5.29832  -1.79276
   5.70378  -1.73387   5.99146  -1.69991   6.21461  -1.67772   6.39693  -1.66178
   6.68461  -1.64041   6.90776  -1.62709   7.31322  -1.60694   7.60090  -1.59603
   8.00637  -1.58475   8.29405  -1.57842   8.51719  -1.57407   8.69951  -1.57166
   8.98720  -1.56782   9.21034  -1.56542   9.61581  -1.56255   9.90349  -1.56065
  10.30895  -1.55874  10.59663  -1.55779  10.81978  -1.55732  11.00210  -1.55685
  11.28978  -1.55637  11.51293  -1.55590
 54
   0.22314  -8.15603   0.40547  -6.44151   0.69315  -5.05836   0.71491  -4.98321
   1.09861  -4.00633   1.38629  -3.52167   1.60944  -3.22741   1.79176  -3.02084
   1.94591  -2.86699   2.07944  -2.74606   2.19722  -2.64761   2.30259  -2.56577
   2.39790  -2.49678   2.48491  -2.43737   2.56495  -2.38499   2.63906  -2.33873
   2.70805  -2.29760   2.77259  -2.25953   2.89037  -2.19463   2.99573  -2.13962
   3.09104  -2.09151   3.17805  -2.05027   3.25810  -2.01365   3.33220  -1.98123
   3.40120  -1.95193   3.68888  -1.84011   3.91202  -1.76376   4.09434  -1.70650
   4.38203  -1.62608   4.60517  -1.57070   5.01064  -1.48413   5.29832  -1.43381
   5.70378  -1.37516   5.99146  -1.34209   6.21461  -1.32051   6.39693  -1.30490
   6.68461  -1.28446   6.90776  -1.27118   7.31322  -1.25211   7.60090  -1.24167
   8.00637  -1.23032   8.29405  -1.22452   8.51719  -1.22044   8.69951  -1.21807
   8.98720  -1.21436   9.21034  -1.21234   9.61581  -1.20932   9.90349  -1.20765
  10.30895  -1.20597  10.59663  -1.20497  10.81978  -1.20464  11.00210  -1.20397
  11.28978  -1.20364  11.51293  -1.20331
 54
   0.22314  -7.84145   0.40547  -6.12981   0.69315  -4.74823   0.71491  -4.67313
   1.09861  -3.69731   1.38629  -3.21314   1.60944  -2.91914   1.79176  -2.71266
   1.94591  -2.55916   2.07944  -2.43829   2.19722  -2.33998   2.30259  -2.25857
   2.39790  -2.18926   2.48491  -2.13031   2.56495  -2.07784   2.63906  -2.03179
   2.70805  -1.98997   2.77259  -1.95263   2.89037  -1.88783   2.99573  -1.83321
   3.09104  -1.78558   3.17805  -1.74469   3.25810  -1.70815   3.33220  -1.67611
